Startup Name,Description,Industries,Batch,Website
Airbnb,Book accommodations around the world.,"Consumer, Travel, Leisure and Tourism",W09,https://www.ycombinator.com/companies/Airbnb
Amplitude,Digital Analytics Platform,"B2B, Analytics",W12,https://www.ycombinator.com/companies/Amplitude
Coinbase,"Buy, sell, and manage cryptocurrencies.","Fintech, Banking and Exchange",S12,https://www.ycombinator.com/companies/Coinbase
DoorDash,Restaurant delivery.,"Consumer, Food and Beverage",S13,https://www.ycombinator.com/companies/DoorDash
Dropbox,Backup and share files in the cloud.,"B2B, Productivity",S07,https://www.ycombinator.com/companies/Dropbox
Ginkgo Bioworks,Our mission is to make biology easier to engineer.,"Healthcare, Industrial Bio",S14,https://www.ycombinator.com/companies/Ginkgo-Bioworks
GitLab,A complete DevOps platform delivered as a single application.,"B2B, Engineering, Product and Design",W15,https://www.ycombinator.com/companies/GitLab
Instacart,Marketplace for grocery delivery and pickup,"Consumer, Food and Beverage",S12,https://www.ycombinator.com/companies/Instacart
Momentus,The space infrastructure services company,"Industrials, Aviation and Space",S18,https://www.ycombinator.com/companies/Momentus
Notable Labs,Personalized drug discovery for blood cancer.,"Healthcare, Diagnostics",W15,https://www.ycombinator.com/companies/Notable-Labs
PagerDuty,Real-time visibility into critical apps and services all in one place.,"B2B, Engineering, Product and Design",S10,https://www.ycombinator.com/companies/PagerDuty
Pardes Biosciences,We break viruses,"Healthcare, Drug Discovery and Delivery",S20,https://www.ycombinator.com/companies/Pardes-Biosciences
Presto,Digital meets physical for big chain restaurants,"B2B, Retail",S10,https://www.ycombinator.com/companies/Presto
Rigetti Computing,Quantum coherent supercomputing.,"Industrials, Manufacturing and Robotics",S14,https://www.ycombinator.com/companies/Rigetti-Computing
Weave,Customer communication and payments platform.,"B2B, Office Management",W14,https://www.ycombinator.com/companies/Weave
Oklo,"Emission free, always on power from advanced fission power plants.","Industrials, Energy",S14,https://www.ycombinator.com/companies/Oklo
Matterport,Turn physical objects and environments into 3D models in seconds.,"Consumer, Virtual and Augmented Reality",W12,https://www.ycombinator.com/companies/Matterport
Embark Trucks,Self-driving semi trucks.,"Industrials, Automotive",W16,https://www.ycombinator.com/companies/Embark-Trucks
Lucira Health,Next generation infectious disease test kits,"Healthcare, Diagnostics",W15,https://www.ycombinator.com/companies/Lucira-Health
Segment,"Software and APIs to collect, clean, and control customer data.","B2B, Analytics",S11,https://www.ycombinator.com/companies/Segment
Algolia,A developer-friendly and enterprise-grade search API.,"B2B, Engineering, Product and Design",W14,https://www.ycombinator.com/companies/Algolia
Truebill,Live your best financial life,"Fintech, Consumer Finance",W16,https://www.ycombinator.com/companies/Truebill
Twitch,A global community creating the future of live entertainment.,"Consumer, Content",W07,https://www.ycombinator.com/companies/Twitch
PlanGrid,Mobile applications for the construction industry.,"Real Estate and Construction, Construction",W12,https://www.ycombinator.com/companies/PlanGrid
Bellabeat,Tech-powered women's wellness.,"Consumer, Consumer Electronics",W14,https://www.ycombinator.com/companies/Bellabeat
Cruise,Self-driving cars.,"Industrials, Automotive",W14,https://www.ycombinator.com/companies/Cruise
Benchling,Unlocking the power of biotech with modern software for modern science,B2B,S12,https://www.ycombinator.com/companies/Benchling
Casetext,We make the world's laws free and understandable.,"B2B, Legal",S13,https://www.ycombinator.com/companies/Casetext
Bird,The world’s largest omnichannel communications platform,"B2B, Engineering, Product and Design",S16,https://www.ycombinator.com/companies/Bird
Brex,"Business accounts, corporate cards, and spend management software.","Fintech, Banking and Exchange",W17,https://www.ycombinator.com/companies/Brex
The Athletic,Subscription sports media.,"Consumer, Content",S16,https://www.ycombinator.com/companies/The-Athletic
Codecademy,The leading online learning platform for technical skills.,Education,S11,https://www.ycombinator.com/companies/Codecademy
Checkr,People infrastructure for the future of work,"B2B, Human Resources",S14,https://www.ycombinator.com/companies/Checkr
Lever,Talent Acquisition Suite that combines ATS + Talent CRM,"B2B, Recruiting and Talent",S12,https://www.ycombinator.com/companies/Lever
Clipboard Health,Connects healthcare facilities with nurses nearby.,"Healthcare, Healthcare Services",W17,https://www.ycombinator.com/companies/Clipboard-Health
Heap,Captures user interactions with no code to generate analytics.,"B2B, Analytics",W13,https://www.ycombinator.com/companies/Heap
Sendwave,"Instant, no fee international remittances.","Fintech, Payments",W12,https://www.ycombinator.com/companies/Sendwave
Deel,The all-in-one HR and payroll platform for global teams,"B2B, Finance and Accounting",W19,https://www.ycombinator.com/companies/Deel
Clever,The platform that powers technology in the classroom.,Education,S12,https://www.ycombinator.com/companies/Clever
Caper,Plug-and-play cashier-less retail powered by computer vision and AI,"B2B, Retail",W16,https://www.ycombinator.com/companies/Caper
EquipmentShare,Cloud solutions for the construction industry.,"Real Estate and Construction, Construction",W15,https://www.ycombinator.com/companies/EquipmentShare
Reddit,The frontpage of the internet.,"Consumer, Content",S05,https://www.ycombinator.com/companies/Reddit
Fivestars,Customer loyalty and payments platform for small businesses.,"B2B, Retail",W11,https://www.ycombinator.com/companies/Fivestars
Machine Zone,Pioneers of mobile social gaming.,"Consumer, Gaming",W08,https://www.ycombinator.com/companies/Machine-Zone
Faire,The global online platform empowering independent retail.,"B2B, Retail",W17,https://www.ycombinator.com/companies/Faire
Fivetran,The leader in automated data movement,"B2B, Infrastructure",W13,https://www.ycombinator.com/companies/Fivetran
Optimizely,The first all-in-one operating system for marketing,"B2B, Engineering, Product and Design",W10,https://www.ycombinator.com/companies/Optimizely
Flexport,Platform for global logistics.,"B2B, Supply Chain and Logistics",W14,https://www.ycombinator.com/companies/Flexport
WePay,Payments for platform businesses.,"Fintech, Payments",S09,https://www.ycombinator.com/companies/WePay
Weebly,Build a free website that grows with your business.,"B2B, Marketing",W07,https://www.ycombinator.com/companies/Weebly
Flock Safety,The first public safety operating system that eliminates crime.,"B2B, Engineering, Product and Design",S17,https://www.ycombinator.com/companies/Flock-Safety
Sqreen,Sqreen is the application security platform for the modern enterprise,"B2B, Security",W18,https://www.ycombinator.com/companies/Sqreen
NURX,"Medicine or testing kit, prescribed online and delivered to your door.","Healthcare, Consumer Health and Wellness",W16,https://www.ycombinator.com/companies/NURX
Go1,A learning platform that enables you to train your staff or customers.,"B2B, Human Resources",S15,https://www.ycombinator.com/companies/Go1
CoreOS,Open source tools of modern distributed systems.,"B2B, Infrastructure",S13,https://www.ycombinator.com/companies/CoreOS
Bear Flag Robotics,Autonomous driving technology for farm tractors.,"Industrials, Agriculture",W18,https://www.ycombinator.com/companies/Bear-Flag-Robotics
GOAT Group,"Platform for the greatest products from the past, present and future.","Consumer, Apparel and Cosmetics",W11,https://www.ycombinator.com/companies/GOAT-Group
Heroku,Enabling developers to build and run applications in the cloud.,"B2B, Infrastructure",W08,https://www.ycombinator.com/companies/Heroku
Groww,"Making financial services simple, transparent and delightful.",Fintech,W18,https://www.ycombinator.com/companies/Groww
GrubMarket,AI-powered technology enabler and digital transformer of American…,"B2B, Supply Chain and Logistics",W15,https://www.ycombinator.com/companies/GrubMarket
